name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Tony Pollard";"TEN";"RB";28.4;407;"5967";"14085";1680;74;31;-969
"Terry McLaurin";"WAS";"WR";30.1;4864;"5927";"14109";1662;75;31;-2382
"Chris Godwin";"TB";"WR";29.6;2505;"4037";"13163";1643;76;32;679
"Jakobi Meyers";"LV";"WR";28.9;2463;"5947";"14127";1610;77;33;258
"Tucker Kraft";"GB";"TE";24.9;9824;"9484";"16222";1591;78;6;713
"Ricky Pearsall";"SF";"WR";25.1;11752;"11638";"16622";1556;79;34;-287
"Sam LaPorta";"DET";"TE";24.7;9843;"10859";"16214";1537;80;7;-1006
"RJ Harvey";"DEN";"RB";24.7;12601;"12489";"17068";1500;81;32;-1063
"Caleb Williams";"CHI";"QB";23.9;11708;"11560";"16579";1446;82;9;485
"Tee Higgins";"CIN";"WR";26.7;5531;"6801";"14835";1426;83;35;-3068
"DeVonta Smith";"PHI";"WR";26.9;6635;"7525";"15282";1382;84;36;-1047
"Bo Nix";"DEN";"QB";25.6;11728;"11563";"16582";1310;85;10;-652
"Jordan Addison";"MIN";"WR";23.7;9847;"9756";"16186";1300;86;37;-5
"Dak Prescott";"DAL";"QB";32.2;6637;"3294";"12620";1294;87;11;118
"Jameson Williams";"DET";"WR";24.5;1100;"8148";"15756";1267;88;38;-994
"Zach Charbonnet";"SEA";"RB";24.7;9921;"9753";"16169";1203;89;33;-136
"Jordan Love";"GB";"QB";26.9;3651;"6804";"14782";1186;90;12;71
"Khalil Shakir";"BUF";"WR";25.7;8607;"8134";"15761";1171;91;39;362
"DJ Moore";"CHI";"WR";28.5;6110;"4983";"13635";1157;92;40;-1568
"Stefon Diggs";"NE";"WR";31.9;3214;"2449";"12186";1151;93;41;-138
"Travis Kelce";"KC";"TE";36;2204;"1466";"11244";1106;94;8;-1201
"Dalton Kincaid";"BUF";"TE";26;9819;"10236";"16213";1047;95;9;506
"Hunter Henry";"NE";"TE";30.8;675;"3214";"12676";960;96;10;809
"Nick Chubb";"HOU";"RB";29.8;4188;"4988";"13610";955;97;34;43
"Matthew Golden";"GB";"WR";22.2;12672;"12501";"17075";940;98;42;-696
"Jared Goff";"DET";"QB";31;8587;"3163";"12611";889;99;13;-457
"Juwan Johnson";"NO";"TE";29.1;5552;"7002";"14861";887;100;11;909
"Kyler Murray";"ARI";"QB";28.2;3544;"5849";"14056";881;101;14;-133
"Kyle Pitts";"ATL";"TE";25;280;"7553";"15329";836;102;12;116
"Travis Hunter";"JAX";"WR";22.4;12617;"12530";"17074";824;103;43;-1242
"Mark Andrews";"BAL";"TE";30.1;4519;"5012";"13671";799;104;13;-605
"Dallas Goedert";"PHI";"TE";30.8;5988;"5022";"13674";797;105;14;382
"T.J. Hockenson";"MIN";"TE";28.3;8215;"5844";"14138";787;106;15;-975
"Jacory Croskey-Merritt";"WAS";"RB";24.5;12697;"12533";"17256";784;107;35;-313
"Isiah Pacheco";"KC";"RB";26.6;3777;"8205";"15749";743;108;36;-1856
"Jerry Jeudy";"CLE";"WR";26.5;2427;"6783";"14833";731;109;44;-975
"Matthew Stafford";"LAR";"QB";37.7;3611;"421";"9431";721;110;15;546
"Cooper Kupp";"SEA";"WR";32.3;5586;"4039";"13164";716;111;45;-414
"Rhamondre Stevenson";"NE";"RB";27.6;4294;"7611";"15259";713;112;37;261
"Kenneth Gainwell";"PIT";"RB";26.6;4476;"7567";"15255";672;113;38;668
"Jauan Jennings";"SF";"WR";28.2;2631;"7049";"14860";663;114;46;-364
"Brock Purdy";"SF";"QB";25.8;5570;"8183";"15698";639;115;16;-484
"Keon Coleman";"BUF";"WR";22.4;11716;"11637";"16617";631;116;47;-27
"Justin Fields";"NYJ";"QB";26.6;7191;"7591";"15238";626;117;17;206
"Wan'Dale Robinson";"NYG";"WR";24.8;4091;"8126";"15757";611;118;48;565
"Zach Ertz";"WAS";"TE";34.9;324;"1339";"11247";606;119;16;387
"Calvin Ridley";"TEN";"WR";30.8;41;"4981";"13629";594;120;49;-1633
"Romeo Doubs";"GB";"WR";25.5;2419;"8121";"15779";593;121;50;498
